script_id,audio_type,audio_file,formatted_summary
script_10,clean,script_10_clean.mp3,Deal status is in progress. Overall sentiment is neutral. The main client concern is pricing. Action item: Send comparison sheet.
script_11,clean,script_11_clean.mp3,Deal status is closed and lost. Overall sentiment is neutral. Follow-up is scheduled for next quarter. The main client concern is budget constraints. Action item: Check back in next quarter.
script_12,clean,script_12_clean.mp3,"Deal status is in progress. Overall sentiment is neutral. Action items include: Send pilot agreement, and Follow up after confirmation with director."
script_13,clean,script_13_clean.mp3,"Deal status is in progress. Overall sentiment is neutral. The main client concern is a technical issue. Action item: Pass specific product codes (KFZ Zulassung, Ramanvertrag) to ASR team for improvement."
script_14,clean,script_14_clean.mp3,"Deal status is in progress. Overall sentiment is neutral. Action items include: Send multi-site enterprise plan details, and Loop in procurement team."
script_15,clean,script_15_clean.mp3,Deal status is in progress. Overall sentiment is neutral. The main client concern is system integration. Action item: Set up technical call with engineer.
script_16,clean,script_16_clean.mp3,"Deal status is in progress. Overall sentiment is positive. Action items include: Hold Jan 8th as kickoff date, and Send calendar invite."
script_17,clean,script_17_clean.mp3,"Deal status is in progress. Overall sentiment is positive. Follow-up is scheduled for Friday. Action items include: Arrange reference call with logistics client, and Follow up by Friday with contact."
script_18,clean,script_18_clean.mp3,"Deal status is in progress. Overall sentiment is positive. Action items include: Export summary directly to PDF, and Customize fields in visit report."
script_19,clean,script_19_clean.mp3,"Deal status is in progress. Overall sentiment is neutral. Follow-up is scheduled for Friday afternoon. Action items include: Follow up on Friday afternoon, and Send one-page summary to be shared with finance team."
script_1,clean,script_1_clean.mp3,"Deal status is closed and won. Overall sentiment is positive. Follow-up is scheduled for Thursday. Action items include: Send contract by Thursday, and Onboard client by end of month."
script_20,clean,script_20_clean.mp3,Deal status is in progress. Overall sentiment is neutral. Follow-up is scheduled for Wednesday. Action item: Send meeting link.
script_2,clean,script_2_clean.mp3,"Deal status is in progress. Overall sentiment is neutral. Follow-up is scheduled for Wednesday. Action items include: Check if quarterly discount is possible, and Follow up by Wednesday with discount proposal."
script_3,clean,script_3_clean.mp3,Deal status is in progress. Overall sentiment is neutral. Follow-up is scheduled for Monday at 10. Action item: Schedule a call for Monday at 10 with IT lead.
script_4,clean,script_4_clean.mp3,Deal status is in progress. Overall sentiment is neutral. Follow-up is scheduled for next Tuesday. The main client concern is trust and validation. Action item: Set up live demo for next Tuesday.
script_5,clean,script_5_clean.mp3,"Deal status is in progress. Overall sentiment is negative. The main client concern is a technical issue. Action items include: Escalate mobile app issue to technical team, and Arrange 30 minute onboarding session for client's team this week."
script_6,clean,script_6_clean.mp3,Deal status is a new lead. Overall sentiment is neutral. Action item: Send materials to mhoffman@bauergruppen.de.
script_7,clean,script_7_clean.mp3,"Deal status is an upsell opportunity. Overall sentiment is positive. Action items include: Add two user seats to renewal quote, and Include loyalty discount for 15% on 2-year renewals."
script_8,clean,script_8_clean.mp3,"Deal status is in progress. Overall sentiment is neutral. The main client concern is GDPR compliance. Action items include: Send compliance documentation, and Provide ISO certification documentation."
script_9,clean,script_9_clean.mp3,Deal status is in progress. Overall sentiment is negative. Follow-up is scheduled for end of week. The main client concern is a technical issue. Action item: Send updated SLA with uptime guarantees by end of week.
script_10,heavy_noise,script_10_heavy_noise.mp3,Deal status is in progress. Overall sentiment is neutral. The main client concern is pricing. Action item: Send a comparison sheet.
script_10,slight_noise,script_10_slight_noise.mp3,Deal status is in progress. Overall sentiment is neutral. The main client concern is pricing. Action item: Send comparison sheet.
script_11,heavy_noise,script_11_heavy_noise.mp3,Deal status is closed and lost. Overall sentiment is neutral. Follow-up is scheduled for next quarter. The main client concern is budget constraints. Action item: Follow up next quarter.
script_11,slight_noise,script_11_slight_noise.mp3,Deal status is closed and lost. Overall sentiment is neutral. Follow-up is scheduled for next quarter. The main client concern is budget constraints. Action item: Check back in next quarter.
script_12,heavy_noise,script_12_heavy_noise.mp3,Deal status is in progress. Overall sentiment is neutral. Action item: Send pilot agreement.
script_12,slight_noise,script_12_slight_noise.mp3,"Deal status is in progress. Overall sentiment is neutral. Action items include: Confirm with director, and Send pilot agreement."
script_13,heavy_noise,script_13_heavy_noise.mp3,Deal status is in progress. Overall sentiment is neutral. The main client concern is a technical issue. Action item: Pass specific terms like KFZ Zulassum or Raman Vrtrag to ASR team for improvement.
script_13,slight_noise,script_13_slight_noise.mp3,"Deal status is in progress. Overall sentiment is neutral. The main client concern is a technical issue. Action item: Pass specific terms to ASR team, e.g., KFZ Zulassung, Ramanvertrag."
script_14,heavy_noise,script_14_heavy_noise.mp3,"Deal status is in progress. Overall sentiment is neutral. Action items include: Send details of multi-site enterprise plan, and Loop in procurement team."
script_14,slight_noise,script_14_slight_noise.mp3,Deal status is in progress. Overall sentiment is neutral. Action item: Send details of multi-site enterprise plan.
script_15,heavy_noise,script_15_heavy_noise.mp3,Deal status is in progress. Overall sentiment is neutral. The main client concern is a technical issue. Action item: Set up technical call with engineer.
script_15,slight_noise,script_15_slight_noise.mp3,Deal status is in progress. Overall sentiment is neutral. The main client concern is a technical issue. Action item: Set up technical call with engineer.
script_16,heavy_noise,script_16_heavy_noise.mp3,"Deal status is closed and won. Overall sentiment is positive. Action items include: Onboard in January instead of Q4, and Lock in January 8th as kickoff date."
script_16,slight_noise,script_16_slight_noise.mp3,Deal status is in progress. Overall sentiment is positive. Action item: Send calendar invite with January 8th as kickoff date.
script_17,heavy_noise,script_17_heavy_noise.mp3,"Deal status is in progress. Overall sentiment is neutral. Follow-up is scheduled for Friday. Action items include: Get existing customer in industry for reference call, and Follow up by Friday with content."
script_17,slight_noise,script_17_slight_noise.mp3,"Deal status is in progress. Overall sentiment is positive. Follow-up is scheduled for Friday. Action items include: Find logistics client open for reference call, and Follow up by Friday."
script_18,heavy_noise,script_18_heavy_noise.mp3,"Deal status is in progress. Overall sentiment is positive. Action items include: Log feature request for exporting summary directly to PDF, and Add client to beta list for custom fields in visit report."
script_18,slight_noise,script_18_slight_noise.mp3,"Deal status is in progress. Overall sentiment is positive. Action items include: Export summary to PDF as feature request, and Add client to beta list for custom fields in Q2."
script_19,heavy_noise,script_19_heavy_noise.mp3,"Deal status is in progress. Overall sentiment is neutral. Follow-up is scheduled for Friday. Action items include: Follow up on Friday afternoon, and Send one page summary for finance team."
script_19,slight_noise,script_19_slight_noise.mp3,"Deal status is in progress. Overall sentiment is neutral. Follow-up is scheduled for Friday afternoon. Action items include: Follow up on Friday afternoon, and Send one-page summary to finance team."
script_1,heavy_noise,script_1_heavy_noise.mp3,"Deal status is closed and won. Overall sentiment is positive. Follow-up is scheduled for Thursday. Action items include: Send contract by Thursday, and Onboard client by end of month."
script_1,slight_noise,script_1_slight_noise.mp3,"Deal status is closed and won. Overall sentiment is positive. Follow-up is scheduled for Thursday. Action items include: Send contract by Thursday, and Onboard client by end of month."
script_20,heavy_noise,script_20_heavy_noise.mp3,"Deal status is in progress. Overall sentiment is neutral. Follow-up is scheduled for Wednesday. Action items include: Confirm receipt of updated pricing, and Schedule meeting on Wednesday."
script_20,slight_noise,script_20_slight_noise.mp3,"Deal status is in progress. Overall sentiment is neutral. Follow-up is scheduled for Wednesday. Action items include: Confirm updated pricing received, and Send meeting link on Wednesday."
script_2,heavy_noise,script_2_heavy_noise.mp3,"Deal status is in progress. Overall sentiment is neutral. Follow-up is scheduled for Wednesday. The main client concern is pricing. Action items include: Check if quarterly discount is possible, and Follow up by Wednesday with discount proposal."
script_2,slight_noise,script_2_slight_noise.mp3,"Deal status is in progress. Overall sentiment is neutral. Follow-up is scheduled for Wednesday. Action items include: Check if quarterly discount is possible, and Follow up by Wednesday with discount proposal."
script_3,heavy_noise,script_3_heavy_noise.mp3,"Deal status is in progress. Overall sentiment is neutral. Follow-up is scheduled for Monday. Action items include: Schedule call for Monday with IT lead, and Call on Monday at 10."
script_3,slight_noise,script_3_slight_noise.mp3,Deal status is in progress. Overall sentiment is neutral. Follow-up is scheduled for Monday. Action item: Schedule call for Monday at 10.
script_4,heavy_noise,script_4_heavy_noise.mp3,Deal status is in progress. Overall sentiment is neutral. Follow-up is scheduled for next Tuesday. Action item: Set up live demo by next Tuesday.
script_4,slight_noise,script_4_slight_noise.mp3,Deal status is in progress. Overall sentiment is neutral. Follow-up is scheduled for next Tuesday. The main client concern is competition from another vendor. Action item: Set up live demo for next Tuesday.
script_5,heavy_noise,script_5_heavy_noise.mp3,"Deal status is in progress. Overall sentiment is neutral. The main client concern is a technical issue. Action items include: Escalate mobile app crashing issue to technical team, and Arrange 30-minute onboarding session for client's team."
script_5,slight_noise,script_5_slight_noise.mp3,"Deal status is in progress. Overall sentiment is negative. The main client concern is a technical issue. Action items include: Escalate mobile app crashing issue to technical team, and Arrange 30 minute onboarding session for client's team this week."
script_6,heavy_noise,script_6_heavy_noise.mp3,Deal status is a new lead. Overall sentiment is positive. Action item: Send materials to mhoffman at bauergruppe.de.
script_6,slight_noise,script_6_slight_noise.mp3,Deal status is a new lead. Overall sentiment is neutral. Action item: Send materials to mhoffman at bauergrupper.de.
script_7,heavy_noise,script_7_heavy_noise.mp3,"Deal status is an upsell opportunity. Overall sentiment is positive. Action items include: Add two more user seats to renewal quota, and Include 15% warranty for two-year renewals in quota."
script_7,slight_noise,script_7_slight_noise.mp3,"Deal status is in progress. Overall sentiment is positive. The main client concern is pricing. Action items include: Add user seats to renewal quote, and Include loyalty discount of 15% for two-year renewals."
script_8,heavy_noise,script_8_heavy_noise.mp3,"Deal status is in progress. Overall sentiment is neutral. The main client concern is GDPR compliance. Action items include: Send compliance documentation, and Follow up on ISO certification."
script_8,slight_noise,script_8_slight_noise.mp3,"Deal status is in progress. Overall sentiment is neutral. The main client concern is GDPR compliance. Action items include: Send compliance documentation, and Provide ISO 27001 certificate when available."
script_9,heavy_noise,script_9_heavy_noise.mp3,Deal status is in progress. Overall sentiment is negative. Follow-up is scheduled for end of week. The main client concern is reliability. Action item: Send updated SLA with uptime guarantees.
script_9,slight_noise,script_9_slight_noise.mp3,Deal status is in progress. Overall sentiment is neutral. Follow-up is scheduled for end of week. The main client concern is reliability. Action item: Send updated SLA with uptime guarantees by end of week.
